id,nom,prenom,naissance,pays
1392,Cros,Marie-Claude,1963-09-17,FR
1393,Chollet,Anthony,1967-06-29,FR
1394,Auger,Delphine,1984-09-04,FR
1395,Caillet,Thaïs,1986-05-08,FR
1396,Perrault,Ghislaine,1975-08-15,FR
1397,Blaise,Tessa,1992-10-31,FR
1398,Pouliquen,Timothée,1957-05-15,FR
1399,Roca,Gustave,1970-09-18,FR
1400,Allemand,Frédérique,1963-03-26,FR
1401,Barbier,Arwen,1966-08-24,FR
1402,Sorin,Pierrette,1945-12-13,FR
1403,Roger,Malcom,1968-12-09,FR
1404,Bailleul,Nolan,1988-06-07,FR
1405,Guillemin,Joachim,1975-04-07,FR
1406,Guery,Olive,1951-07-23,FR
1407,Laffont,Sylvie,1972-01-05,FR
1408,Mercier,Loïs,1986-04-11,FR
1409,Franco,Jonas,1952-05-02,FR
1410,Daval,Alexandra,1967-12-22,FR
1411,Jullien,Martin,1992-11-03,FR
1412,Caro,Yaëlle,1990-02-02,FR
1413,Bonnel,Youna,1985-04-01,FR
1414,Bataille,Charline,1978-04-20,FR
1415,Samson,Ludivine,1975-06-06,FR
1416,Brunel,Cécile,1977-08-31,FR
1417,Douay,Pimprenelle,1988-09-14,FR
1418,Vannier,Gwendoline,1978-12-15,FR
1419,Leveque,Gabriel,1976-11-16,FR
1420,Bayle,Annabelle,1969-07-19,FR
1421,Combe,Dylan,1990-03-16,FR
1422,Monnier,Mylan,1983-12-07,FR
1423,Gaudemaris,Joelle,1970-06-24,FR
1424,Rambaud,Diego,1956-09-23,FR
1425,Lemoine,Ruben,1954-01-21,FR
1426,Loisel,Marianne,1956-10-23,FR
1427,Moreira,Vincent,1972-11-25,FR
1428,Lafitte,Fabrice,1951-01-15,FR
1429,Masson,Lucas,1946-01-03,FR
1430,Oudin,Claude,1956-11-01,FR
1431,Guyot,Baptiste,1962-06-13,FR
1432,Blanchard,Joanna,1948-03-14,FR
1433,de Fontanges,Augustin,1994-07-06,FR
1434,Seguin,Gaëlle,1972-02-29,FR
1435,Barreau,Eloi,1962-06-03,FR
1436,Pinto,Ernest,1970-09-06,FR
1437,Aubry,René,1963-10-18,FR
1438,Delage,Roseline,1992-04-25,FR
1439,Rougier,Ophélie,1967-04-07,FR
1440,Favier,Roland,1991-01-17,FR
1441,Lemonnier,Dany,1953-05-14,FR
1442,Michon,Loïc,1971-08-14,FR
1443,Guilloux,Yohann,1979-04-06,FR
1444,Drouet,Lola,1974-10-29,FR
1445,Gaillard,Charles,1957-01-30,FR
1446,Jarry,Sabrina,1973-05-01,FR
1447,Berton,Olympe,1951-07-16,FR
1448,Paris,Aimé,1956-12-05,FR
1449,Kremer,Raymond,1987-06-23,FR
1450,Favre,Titouan,1956-11-03,FR
1451,Pinet,Patrice,1952-10-06,FR
1452,Lemarchand,Béatrice,1945-12-14,FR
1453,Marty,Pauline,1948-08-28,FR
1454,Metayer,Zita,1976-02-15,FR
1455,Fouquet,Simone,1993-05-17,FR
1456,Fonteneau,Christel,1990-02-11,FR
1457,Boutet,Ilian,1956-10-05,FR
1458,Bonnin,Lorenzo,1994-04-18,FR
1459,Bouvier,Anne-Claire,1958-07-29,FR
1460,Fillon,Marjorie,1988-10-30,FR
1461,Billon,Zéphir,1961-03-04,FR
1462,Prudhomme,Jérôme,1984-11-11,FR
1463,Bauduin,Carla,1977-09-12,FR
1464,Reynaud,Alison,1961-07-15,FR
1465,Faivre,April,1969-05-12,FR
1466,Moreno,Alain,1971-06-11,FR
1467,Jouan,Andrea,1978-01-09,FR
1468,Prat,Lionel,1981-07-23,FR
1469,Vivier,Camille,1966-01-20,FR
1470,Guedon,Lilian,1956-05-21,FR
1471,Borel,Alexis,1979-02-07,FR
1472,Guegan,Simon,1979-05-18,FR
1473,Bellec,Ezio,1987-05-26,FR
1474,Massot,Arsène,1975-01-19,FR
1475,Garcia,Edmond,1973-04-04,FR
1476,Vallee,Françoise,1949-11-11,FR
1477,Bloch,Hugo,1964-07-05,FR
1478,Debray,Léon,1976-12-01,FR
1479,Pierron,Valérian,1953-09-09,FR
1480,Munoz,Harold,1975-08-11,FR
1481,Chapuis,Roger,1964-12-27,FR
1482,Gregoire,Martine,1983-06-03,FR
1483,Roussel,Emile,1985-02-01,FR
1484,Delpech,Karen,1985-10-01,FR
1485,Braud,Serge,1986-03-21,FR
1486,Costes,Justin,1981-06-23,FR
1487,Herbin,Albane,1974-05-01,FR
1488,Taillandier,Nadia,1982-05-24,FR
1489,Ducrocq,William,1962-06-09,FR
1490,Guichard,Jean-Louis,1947-08-17,FR
1491,Berry,Marie,1986-02-25,FR
1492,Garcin,Ylan,1975-09-25,FR
1493,Riche,Gilberte,1975-08-11,FR
1494,Bourgois,Estelle,1950-02-18,FR
1495,Le breton,Jean-Christophe,1975-05-25,FR
1496,Fleury,Kimi,1954-08-28,FR
1497,Florent,Marc,1963-03-18,FR
1498,Flores,Lenny,1961-04-24,FR
1499,Husson,Nadine,1989-03-04,FR
1500,Dupond,Alice,1948-07-29,FR
1501,Baudet,Marine,1984-06-09,FR
1502,Haas,Evan,1974-12-27,FR
1503,Provost,Henri,1960-08-30,FR
1504,Granger,Alban,1979-01-17,FR
1505,Gervais,Alexine,1978-03-03,FR
1506,de Bruyères-Chalabre,Christophe,1952-05-13,FR
1507,Fischer,Rayan,1950-05-16,FR
1508,Laroche,Victor,1981-07-30,FR
1509,Durieux,Laure,1971-02-11,FR
1510,Chiron,Eric,1972-01-17,FR
1511,Dubois,Robin,1962-01-01,FR
1512,Leleu,Maeva,1963-01-05,FR
1513,Forestier,Irene,1950-11-27,FR
1514,Rose,Janine,1972-09-10,FR
1515,Maisonneuve,Lubin,1976-09-01,FR
1516,Voisin,Lisa,1977-09-12,FR
1517,Desprez,Ethan,1993-08-15,FR
1518,Restaurand,Gérald,1953-04-12,FR
1519,Perret,Soan,1972-04-13,FR
1520,Torres,Lorraine,1947-06-29,FR
1521,Dumas,Jean-Michel,1953-10-14,FR
1522,Rolland,Abel,1961-09-21,FR
1523,De oliveira,Maryse,1988-02-12,FR
1524,Pelletier,Alexia,1973-01-24,FR
1525,Pepin,Valériane,1973-10-01,FR
1526,Trouve,Nino,1988-11-11,FR
1527,Weiss,Gauthier,1968-10-31,FR
1528,Bruyere,Véronique,1976-09-15,FR
1529,Le Floch,Florent,1958-06-09,FR
1530,Galembert,Soren,1983-12-18,FR
1531,Pinson,Adam,1951-05-10,FR
1532,Tardy,Jolan,1975-05-24,FR
1533,Wagner,Thiméo,1972-11-09,FR
1534,Fievet,Virgile,1949-12-12,FR
1535,Maury,Vanessa,1951-02-25,FR
1536,Guilbaud,Orianne,1954-09-10,FR
1537,Besnard,Sylviane,1976-01-04,FR
1538,Cuvelier,Noël,1949-06-26,FR
1539,Baudouin,Damien,1963-10-24,FR
1540,Fremont,Géraldine,1986-10-23,FR
1541,Chauveau,Sandra,1960-05-03,FR
1542,Maurin,Nina,1985-05-30,FR
1543,Ragot,Cédric,1985-12-04,FR
1544,Pouget,Maxime,1951-07-14,FR
1545,Gerard,Raphaël,1988-01-26,FR
1546,Aubertin,Chantal,1962-08-09,FR
1547,Philippon,Emilienne,1979-08-19,FR
1548,Papin,Max,1990-04-21,FR
1549,Pillet,Vianney,1989-10-09,FR
1550,Berard,Tim,1991-04-07,FR
1551,Aubin,Manuel,1972-03-26,FR
1552,Dubourg,Gérard,1956-06-15,FR
1553,Lucas,Salomé,1970-01-17,FR
1554,Renaud,Karine,1948-08-06,FR
1555,Cochet,Kenzo,1992-06-04,FR
1556,Sevin,Laurence,1961-07-14,FR
1557,Billy,Jean-Baptiste,1991-05-22,FR
1558,Bouchet,Sonia,1961-10-05,FR
1559,Renou,Jordan,1964-05-23,FR
1560,Prunier,Mylene,1984-10-07,FR
1561,Auffret,François,1989-05-25,FR
1562,Cote,Thibaut,1976-03-05,FR
1563,Le bihan,Madeleine,1982-03-23,FR
1564,Mousset,Samantha,1957-02-10,FR
1565,Lebreton,Théo,1967-12-23,FR
1566,Bocquet,Naël,1965-05-11,FR
1567,Guiot,Lou,1980-08-19,FR
1568,Philibert,Kelly,1962-03-16,FR
1569,Meyer,Margot,1978-05-19,FR
1570,Piat,Yann,1993-11-20,FR
1571,Mauduit,Marie-Louise,1963-06-28,FR
1572,Le bars,Marie-Noëlle,1961-10-17,FR
1573,Tisserand,Marie-Pierre,1987-06-08,FR
1574,Lecocq,Célestin,1979-03-21,FR
1575,Delhaye,Leonie,1946-06-09,FR
1576,Ledoux,Maria,1947-09-09,FR
1577,Gueguen,Edith,1973-05-14,FR
1578,Deschamps,Cindy,1956-10-01,FR
1579,Delattre,Gaspard,1957-11-28,FR
1580,Moulin,Roman,1957-09-14,FR
1581,Collot,Jacques,1955-10-09,FR
1582,Aubert,Florence,1961-11-19,FR
1583,Tournier,Charlène,1945-03-28,FR
1584,Godin,Danielle,1994-02-15,FR
1585,Delannoy,Olivia,1967-11-02,FR
1586,Jouve,Micheline,1982-03-09,FR
1587,de Montclos,Mathilde,1947-02-23,FR
1588,Carriere,Jean-Paul,1955-06-07,FR
1589,Segard,Catherine,1950-03-06,FR
1590,Andre,Théophile,1984-12-23,FR
1591,Monteil,Matéo,1958-06-21,FR
1592,Motte,Harry,1956-09-03,FR
1593,Mahe,Bernard,1973-09-27,FR
1594,Naudin,Jean-Marie,1957-01-05,FR
1595,Payen,Jacqueline,1951-05-21,FR
1596,Laine,Céleste,1980-04-24,FR
1597,Beaulieu,Ange,1954-11-20,FR
1598,Brisset,Nathan,1968-10-03,FR
1599,Goupil,Yvette,1991-01-17,FR
1600,Varlet,Milo,1981-02-05,FR
1601,Bellot,Claire,1961-04-14,FR
1602,Raoul,Victoria,1986-08-03,FR
1603,Lechat,Fernande,1964-07-20,FR
1604,Babin,Julien,1982-10-17,FR
1605,Racine,Jean-Philippe,1964-10-10,FR
1606,Dubuc,Clément,1977-12-17,FR
1607,Ferrari,Liam,1949-06-15,FR
1608,Vautrin,Germaine,1975-03-31,FR
1609,Riviere,Dorian,1951-12-03,FR
1610,Roux,Clara,1994-10-19,FR
1611,Boutin,Téo,1963-04-30,FR
1612,Gosselin,Josette,1945-10-24,FR
1613,Tison,Gilbert,1993-06-26,FR
1614,Puech,Nicole,1954-07-16,FR
1615,Huchet,Felix,1981-01-21,FR
1616,Mazet,Tabitha,1978-04-06,FR
1617,Lang,Ginette,1956-02-19,FR
1618,Ouvrard,Nadege,1985-02-22,FR
1619,Tardieu,Cloé,1976-06-14,FR
1620,Grimaud,Bénédicte,1990-07-25,FR
1621,Raimbault,Elie,1961-11-23,FR
1622,Luciani,Richard,1964-07-12,FR
1623,Huguet,Jules,1972-10-28,FR
1624,Rillart de Verneuil,Urbain,1948-10-30,FR
1625,Gosset,Milan,1987-03-01,FR
1626,Tran,Edouard,1947-07-15,FR
1627,Lesueur,Marius,1976-09-22,FR
1628,Hoffmann,Basile,1966-12-25,FR
1629,Menard,Johanna,1959-02-19,FR
1630,Terrien,Hector,1992-11-09,FR
1631,Grange,Luc,1986-11-27,FR
1632,Carpentier,Farah,1952-05-22,FR
1633,Louis,Léa,1975-09-16,FR
1634,Blandin,Robert,1946-07-01,FR
1635,Piot,Ursula,1962-04-01,FR
1636,Rigaud,Corinne,1963-01-18,FR
1637,Vigneron,Albin,1957-11-15,FR
1638,Le roux,Ryan,1969-06-17,FR
1639,Caillaud,Sandrine,1958-04-07,FR
1640,Loyer,Logan,1966-07-28,FR
1641,Michel,Cerise,1975-07-02,FR
1642,Mora,David,1975-03-14,FR
1643,Jan,Hubert,1960-10-06,FR
1644,Garrigues,Maud,1954-09-02,FR
1645,Chaix,Bernadette,1945-06-18,FR
1646,Le Coz,Abigaëlle,1962-01-23,FR
1647,Portal,Angèle,1972-11-04,FR
1648,Miquel,Huguette,1960-06-14,FR
1649,Hoareau,Noa,1966-10-18,FR
1650,Fontaine,Fabien,1988-11-04,FR
1651,Pham,Alicia,1971-09-26,FR
1652,d''Harcourt,Peggy,1971-03-24,FR
1653,Cros,Paolo,1964-11-24,FR
1654,Chollet,Gisèle,1966-04-07,FR
1655,Auger,Fanny,1978-09-21,FR
1656,Caillet,Alix,1980-05-02,FR
1657,Perrault,Emeline,1971-09-12,FR
1658,Blaise,Inès,1951-06-27,FR
1659,Pouliquen,Thibaud,1979-09-05,FR
1660,Roca,Louise,1967-03-18,FR
1661,Allemand,Adeline,1974-12-19,FR
1662,Barbier,Urielle,1983-07-08,FR
1663,Sorin,Emilie,1981-02-22,FR
1664,Roger,Loan,1961-02-10,FR
1665,Bailleul,Julian,1984-04-20,FR
1666,Guillemin,Thibault,1988-03-08,FR
1667,Guery,Eloan,1993-04-29,FR
1668,Laffont,Eugene,1967-11-02,FR
1669,Mercier,Zoé,1946-03-06,FR
1670,Franco,Bruno,1993-11-04,FR
1671,Daval,Antonin,1984-09-04,FR
1672,Jullien,Angélique,1952-07-12,FR
1673,Caro,Anatole,1985-09-24,FR
1674,Bonnel,Valentine,1979-08-22,FR
1675,Bataille,Charlie,1991-03-31,FR
1676,Samson,Romane,1974-04-13,FR
1677,Brunel,Louison,1993-05-03,FR
1678,Douay,Isabelle,1963-01-16,FR
1679,Vannier,Anne-Laure,1978-08-25,FR
1680,Leveque,Joris,1964-03-25,FR
1681,Bayle,Solene,1960-08-27,FR
1682,Combe,Enola,1990-08-25,FR
1683,Monnier,Anissa,1981-03-24,FR
1684,Gaudemaris,Stanislas,1983-06-29,FR
1685,Rambaud,Odette,1989-11-20,FR
1686,Lemoine,Jacky,1954-06-09,FR
1687,Loisel,Melanie,1957-05-12,FR
1688,Moreira,Arnaud,1982-05-04,FR
1689,Lafitte,Noelle,1960-07-14,FR
1690,Masson,Aubin,1980-03-04,FR
1691,Oudin,Ludwig,1948-04-13,FR
1692,Guyot,Natacha,1947-11-26,FR
1693,Blanchard,Mickey,1952-01-30,FR
1694,de Fontanges,Yvaine,1964-03-25,FR
1695,Seguin,Tatiana,1958-12-15,FR
1696,Barreau,Emine,1973-12-24,FR
1697,Pinto,Matteo,1969-06-05,FR
1698,Aubry,Matthieu,1978-10-04,FR
1699,Delage,Mathieu,1990-12-11,FR
1700,Rougier,Guillaume,1959-07-07,FR
1701,Favier,Anne,1972-01-28,FR
1702,Lemonnier,Noan,1975-11-25,FR
1703,Michon,Norbert,1951-12-12,FR
1704,Guilloux,Marie,1990-05-22,FR
1705,Drouet,Brice,1955-05-24,FR
1706,Gaillard,Viviane,1974-10-05,FR
1707,Jarry,Cassandra,1971-03-19,FR
1708,Berton,Perrine,1964-04-23,FR
1709,Paris,Orane,1981-07-09,FR
1710,Kremer,Ronan,1973-02-04,FR
1711,Favre,Benjamin,1961-12-11,FR
1712,Pinet,Cyprien,1954-06-02,FR
1713,Lemarchand,Lydie,1989-02-01,FR
1714,Marty,Deborah,1959-03-14,FR
1715,Metayer,Dimitri,1990-04-09,FR
1716,Fouquet,Bastien,1974-07-07,FR
1717,Fonteneau,Aude,1970-04-01,FR
1718,Boutet,Sophie,1956-10-08,FR
1719,Bonnin,Amandine,1959-07-01,FR
1720,Bouvier,Romain,1954-09-12,FR
1721,Fillon,Adrienne,1975-06-19,FR
1722,Billon,Laetitia,1946-04-23,FR
1723,Prudhomme,Jeanine,1976-02-26,FR
1724,Bauduin,Tony,1951-10-15,FR
1725,Reynaud,Alexandre,1946-02-01,FR
1726,Faivre,Annie,1983-10-17,FR
1727,Moreno,Alphonse,1956-04-02,FR
1728,Jouan,Floriane,1964-07-01,FR
1729,Prat,Isaac,1982-02-07,FR
1730,Vivier,Nicolas,1993-06-30,FR
1731,Guedon,Maximilien,1980-03-15,FR
1732,Borel,Genevieve,1990-09-14,FR
1733,Guegan,Zaccharie,1950-02-16,FR
1734,Bellec,Nathalie,1958-04-12,FR
1735,Massot,Christine,1958-05-19,FR
1736,Garcia,Francine,1952-12-04,FR
1737,Vallee,Carole,1954-03-20,FR
1738,Bloch,Gaël,1979-06-05,FR
1739,Debray,Anne-Marie,1964-04-28,FR
1740,Pierron,Marceau,1977-05-04,FR
1741,Munoz,Fernand,1976-10-03,FR
1742,Chapuis,Jeannine,1947-06-30,FR
1743,Gregoire,Yolande,1987-05-17,FR
1744,Roussel,Florian,1979-04-20,FR
1745,Delpech,Benoit,1973-03-06,FR
1746,Braud,Barbara,1976-12-24,FR
1747,Wagner,Clementine,1946-09-13,FR
1748,Fievet,Paulette,1986-07-01,FR
1749,Maury,Rémi,1979-07-25,FR
1750,Guilbaud,Luis,1976-11-17,FR
1751,Besnard,Grégory,1955-02-07,FR
1752,Cuvelier,Sarah,1983-04-30,FR
1753,Baudouin,Christiane,1982-12-19,FR
1754,Fremont,Gaëtan,1950-01-12,FR
1755,Chauveau,Manon,1971-04-03,FR
1756,Maurin,Daniele,1957-06-10,FR
1757,Ragot,Pablo,1946-12-22,FR
1758,Pouget,Léo,1949-12-24,FR
1759,Gerard,Tom,1994-01-17,FR
1760,Aubertin,Rachel,1968-07-08,FR
1761,Philippon,Sélène,1948-01-05,FR
1762,Papin,Gabin,1972-09-03,FR
1763,Pillet,Cyril,1984-08-21,FR
1764,Berard,Kévin,1975-01-01,FR
1765,Aubin,Coline,1994-03-27,FR
1766,Dubourg,Valérie,1978-12-19,FR
1767,Lucas,Christian,1965-06-15,FR
1768,Renaud,Théodore,1947-04-17,FR
1769,Cochet,Léandre,1956-02-11,FR
1770,Sevin,Patrick,1988-12-25,FR
1771,Billy,Jonathan,1977-05-05,FR
1772,Bouchet,Brigitte,1988-12-06,FR
1773,Renou,Yoann,1948-12-18,FR
1774,Prunier,Timeo,1984-12-09,FR
1775,Auffret,Valère,1948-02-06,FR
1776,Cote,Denise,1947-11-06,FR
1777,Le bihan,Aurore,1986-09-05,FR
1778,Mousset,Patricia,1957-08-10,FR
1779,Lebreton,Laurent,1956-05-22,FR
1780,Bocquet,Gaston,1955-06-20,FR
1781,Guiot,Jade,1951-09-07,FR
1782,Philibert,Aurelia,1952-05-27,FR
1783,Meyer,Amélie,1961-07-22,FR
1784,Piat,Marcel,1968-02-23,FR
1785,Mauduit,Juliette,1950-04-28,FR
1786,Le bars,Augustine,1945-06-27,FR
1787,Tisserand,Antoinette,1978-05-13,FR
1788,Lecocq,Maël,1949-06-07,FR
1789,Delhaye,Tania,1990-08-17,FR
1790,Ledoux,Daniel,1978-05-29,FR
1791,Gueguen,Magali,1953-09-20,FR
1792,Deschamps,Guilhem,1985-09-02,FR
1793,Delattre,Philippe,1958-09-02,FR
1794,Moulin,Roméo,1970-01-23,FR
1795,Collot,Loris,1971-08-12,FR
1796,Aubert,Lorrain,1990-05-20,FR
1797,Tournier,Malone,1959-01-23,FR
1798,Godin,Blanche,1960-10-04,FR
1799,Delannoy,Kewan,1957-12-17,FR
1800,Jouve,Lucienne,1991-10-07,FR
1801,de Montclos,Renée,1949-01-13,FR
1802,Carriere,Faustine,1994-02-03,FR
1803,Segard,Pascale,1949-12-22,FR
1804,Andre,Josephine,1969-03-04,FR
1805,Monteil,Maé,1964-05-23,FR
1806,Motte,Jeanne,1982-08-12,FR
1807,Mahe,Yvan,1981-03-31,FR
1808,Naudin,Bertrand,1986-05-02,FR
1809,Payen,Côme,1953-11-11,FR
1810,Laine,Arthur,1974-02-02,FR
1811,Beaulieu,Marthe,1981-10-11,FR
1812,Brisset,Arlette,1991-06-28,FR
1813,Goupil,Clovis,1952-07-29,FR
1814,Varlet,Liliane,1967-09-20,FR
1815,Bellot,Annick,1967-05-18,FR
1816,Raoul,Maude,1956-06-01,FR
1817,Lechat,Eliane,1947-06-07,FR
1818,Babin,Yannick,1968-11-25,FR
1819,Racine,Meline,1955-06-01,FR
1820,Dubuc,Zora,1985-11-01,FR
1821,Ferrari,Pascal,1961-12-07,FR
1822,Vautrin,Alfred,1949-11-29,FR
1823,Riviere,Emmanuelle,1961-08-07,FR
1824,Roux,Chloé,1978-02-07,FR
1825,Boutin,Rudy,1984-12-25,FR
1826,Gosselin,Thierry,1968-03-30,FR
1827,Tison,Sylvain,1982-02-02,FR
1828,Puech,Christelle,1962-08-13,FR
1829,Huchet,Melvin,1947-05-25,FR
1830,Mazet,Sandro,1958-12-04,FR
1831,Lang,Joan,1988-09-18,FR
1832,Ouvrard,Nathéo,1965-02-28,FR
1833,Tardieu,Yaël,1967-12-30,FR
1834,Grimaud,Boris,1982-06-04,FR
1835,Raimbault,Valèry,1975-05-26,FR
1836,Luciani,Hervé,1946-07-10,FR
1837,Huguet,Marguerite,1947-09-20,FR
1838,Rillart de Verneuil,Malo,1953-09-06,FR
1839,Gosset,Maxence,1945-02-23,FR
1840,Tran,Lena,1960-05-23,FR
1841,Lesueur,Carlos,1972-03-31,FR
1842,Hoffmann,Adrien,1979-10-28,FR
1843,Menard,Didier,1957-03-29,FR
1844,Terrien,Matt,1947-04-06,FR
1845,Grange,Linda,1992-04-05,FR
1846,Carpentier,Elouan,1958-12-15,FR
1847,Louis,Axel,1981-07-05,FR
1848,Blandin,Estéban,1956-07-08,FR
1849,Piot,Charlotte,1953-04-03,FR
1850,Rigaud,Colette,1955-09-10,FR
1851,Vigneron,Virginie,1953-09-07,FR
1852,Le roux,Pierre,1952-01-24,FR
1853,Caillaud,Lino,1951-08-27,FR
1854,Loyer,Samuel,1945-02-13,FR
1855,Michel,Edwige,1993-10-17,FR
1856,Mora,Agathe,1973-04-24,FR
1857,Jan,Angeline,1951-12-21,FR
1858,Garrigues,Elias,1963-07-21,FR
1859,Chaix,Frédéric,1963-12-21,FR
1860,Le Coz,Emrys,1949-03-14,FR
1861,Portal,Marin,1967-11-16,FR
1862,Miquel,Caroline,1952-01-26,FR
1863,Hoareau,Rose-Marie,1988-12-14,FR
1864,Fontaine,Noham,1989-07-16,FR
1865,Pham,Josiane,1971-06-22,FR
1866,d''Harcourt,Victorine,1985-08-16,FR
1867,Cros,Thomas,1958-05-14,FR
1868,Chollet,Henriette,1987-01-25,FR
1869,Auger,Laurie,1972-05-16,FR
1870,Caillet,Gilles,1971-10-01,FR
1871,Perrault,Tristan,1961-07-19,FR
1872,Blaise,Achille,1952-02-17,FR
1873,Pouliquen,Laurine,1967-02-05,FR
1874,Roca,Albert,1994-09-16,FR
1875,Allemand,Agnès,1962-02-03,FR
1876,Barbier,Mathis,1949-02-28,FR
1877,Sorin,Anne-Lise,1970-06-25,FR
1878,Roger,Georgette,1947-10-11,FR
1879,Bailleul,Marie-Claude,1989-03-04,FR
1880,Guillemin,Anthony,1955-09-07,FR
1881,Guery,Delphine,1978-10-08,FR
1882,Laffont,Thaïs,1958-10-23,FR
1883,Mercier,Ghislaine,1956-05-03,FR
1884,Franco,Tessa,1991-05-14,FR
1885,Daval,Timothée,1990-07-27,FR
1886,Jullien,Gustave,1981-12-05,FR
1887,Caro,Frédérique,1989-05-20,FR
1888,Bonnel,Arwen,1980-07-19,FR
1889,Bataille,Pierrette,1972-08-31,FR
1890,Samson,Malcom,1992-06-30,FR
1891,Brunel,Nolan,1980-06-06,FR
1892,Douay,Joachim,1955-01-10,FR
1893,Vannier,Olive,1965-07-29,FR
1894,Leveque,Sylvie,1958-07-30,FR
1895,Bayle,Loïs,1994-03-04,FR
1896,Combe,Jonas,1964-04-28,FR
1897,Monnier,Alexandra,1949-03-30,FR
1898,Gaudemaris,Martin,1964-08-24,FR
1899,Rambaud,Yaëlle,1960-08-15,FR
1900,Lemoine,Youna,1976-08-30,FR
1901,Loisel,Charline,1957-01-17,FR
1902,Moreira,Ludivine,1979-04-02,FR
1903,Lafitte,Cécile,1950-11-03,FR
1904,Masson,Pimprenelle,1969-12-09,FR
1905,Oudin,Gwendoline,1952-10-06,FR
1906,Guyot,Gabriel,1986-05-04,FR
1907,Blanchard,Annabelle,1992-11-27,FR
1908,de Fontanges,Dylan,1988-10-09,FR
1909,Seguin,Mylan,1963-08-25,FR
1910,Barreau,Joelle,1960-10-09,FR
1911,Pinto,Diego,1966-03-17,FR
1912,Aubry,Ruben,1974-12-27,FR
1913,Delage,Marianne,1950-10-17,FR
1914,Rougier,Vincent,1956-07-08,FR
1915,Favier,Fabrice,1993-05-23,FR
1916,Lemonnier,Lucas,1987-06-15,FR
1917,Michon,Claude,1989-11-13,FR
1918,Guilloux,Baptiste,1993-01-20,FR
1919,Drouet,Joanna,1992-05-02,FR
1920,Gaillard,Augustin,1970-03-23,FR
1921,Jarry,Gaëlle,1967-08-24,FR
1922,Berton,Eloi,1975-09-26,FR
1923,Paris,Ernest,1974-05-03,FR
1924,Kremer,René,1990-06-28,FR
1925,Favre,Roseline,1988-12-02,FR
1926,Pinet,Ophélie,1957-06-08,FR
1927,Lemarchand,Roland,1969-04-13,FR
1928,Marty,Dany,1961-01-13,FR
1929,Metayer,Loïc,1978-12-18,FR
1930,Fouquet,Yohann,1954-09-05,FR
1931,Fonteneau,Lola,1966-08-31,FR
1932,Boutet,Charles,1986-01-20,FR
1933,Bonnin,Sabrina,1988-01-26,FR
1934,Bouvier,Olympe,1961-08-11,FR
1935,Fillon,Aimé,1958-09-03,FR
1936,Billon,Raymond,1982-12-01,FR
1937,Prudhomme,Titouan,1986-07-04,FR
1938,Bauduin,Patrice,1960-07-24,FR
1939,Reynaud,Béatrice,1969-01-04,FR
1940,Faivre,Pauline,1994-12-17,FR
1941,Moreno,Zita,1974-07-30,FR
1942,Jouan,Simone,1957-03-14,FR
1943,Prat,Christel,1981-01-04,FR
1944,Vivier,Ilian,1968-02-13,FR
1945,Guedon,Lorenzo,1990-05-16,FR
1946,Borel,Anne-Claire,1989-03-09,FR
1947,Guegan,Marjorie,1979-02-18,FR
1948,Bellec,Zéphir,1952-02-22,FR
1949,Massot,Jérôme,1948-07-24,FR
1950,Garcia,Carla,1977-06-13,FR
1951,Vallee,Alison,1954-11-20,FR
1952,Bloch,April,1980-10-17,FR
1953,Debray,Alain,1948-06-11,FR
1954,Pierron,Andrea,1960-11-28,FR
1955,Munoz,Lionel,1980-01-13,FR
1956,Chapuis,Camille,1955-02-05,FR
1957,Gregoire,Lilian,1968-09-30,FR
1958,Roussel,Alexis,1967-10-11,FR
1959,Delpech,Simon,1962-07-04,FR
1960,Braud,Ezio,1971-02-20,FR
1961,Lemarchand,Arsène,1945-12-26,FR
1962,Marty,Edmond,1984-10-21,FR
1963,Metayer,Françoise,1986-05-24,FR
1964,Fouquet,Hugo,1991-03-08,FR
1965,Fonteneau,Léon,1972-05-30,FR
1966,Boutet,Valérian,1981-09-16,FR
1967,Bonnin,Harold,1988-01-05,FR
1968,Bouvier,Roger,1950-09-29,FR
1969,Fillon,Martine,1982-12-01,FR
1970,Billon,Emile,1968-08-06,FR
1971,Prudhomme,Karen,1989-10-10,FR
1972,Bauduin,Serge,1964-08-31,FR
1973,Reynaud,Justin,1980-08-30,FR
1974,Faivre,Albane,1980-09-22,FR
1975,Moreno,Nadia,1978-05-11,FR
1976,Jouan,William,1986-10-21,FR
1977,Prat,Jean-Louis,1955-07-17,FR
1978,Vivier,Marie,1951-12-03,FR
1979,Guedon,Ylan,1963-07-09,FR
1980,Borel,Gilberte,1994-05-05,FR
1981,Guegan,Estelle,1967-12-28,FR
1982,Bellec,Jean-Christophe,1994-10-15,FR
1983,Massot,Kimi,1955-09-20,FR
1984,Garcia,Marc,1964-11-22,FR
1985,Vallee,Lenny,1973-09-24,FR
1986,Bloch,Nadine,1968-10-20,FR
1987,Debray,Alice,1965-10-13,FR
1988,Pierron,Marine,1973-02-18,FR
1989,Munoz,Evan,1972-07-14,FR
1990,Chapuis,Henri,1984-02-01,FR
1991,Gregoire,Alban,1951-03-15,FR
1992,Roussel,Alexine,1973-08-14,FR
1993,Delpech,Christophe,1969-10-15,FR
1994,Braud,Rayan,1961-10-09,FR
1995,Wagner,Victor,1950-01-07,FR
1996,Fievet,Laure,1954-03-19,FR
